id,Fill Percentage,battery,eventDate,Distance
5c2bf397530484f84463,29,56,2022-10-09T22:45:13.139Z,1611
5c2bf397530484f84463,29,56,2022-10-09T22:50:14.578Z,1601
5c2bf397530484f84463,29,56,2022-10-09T22:55:15.890Z,1604
5c2bf397530484f84463,29,56,2022-10-09T23:00:17.220Z,1603
5c2bf397530484f84463,29,56,2022-10-09T23:05:18.540Z,1605
5c2bf397530484f84463,29,56,2022-10-09T23:10:19.820Z,1603
5c2bf397530484f84463,29,56,2022-10-09T23:15:21.144Z,1603
5c2bf397530484f84463,29,56,2022-10-09T23:20:22.457Z,1607
5c2bf397530484f84463,29,56,2022-10-09T23:25:23.771Z,1603
5c2bf397530484f84463,29,56,2022-10-09T23:30:25.097Z,1603
5c2bf397530484f84463,30,56,2022-10-09T23:35:26.417Z,1600
5c2bf397530484f84463,29,56,2022-10-09T23:40:27.697Z,1604
5c2bf397530484f84463,30,56,2022-10-09T23:45:29.301Z,1596
5c2bf397530484f84463,29,56,2022-10-09T23:50:30.340Z,1606
5c2bf397530484f84463,29,56,2022-10-09T23:55:31.738Z,1613
5c2bf397530484f84463,29,56,2022-10-10T00:00:32.976Z,1608
5c2bf397530484f84463,29,56,2022-10-10T00:05:34.260Z,1603
5c2bf397530484f84463,29,56,2022-10-10T00:10:35.586Z,1602
5c2bf397530484f84463,29,56,2022-10-10T00:15:36.904Z,1602
5c2bf397530484f84463,29,56,2022-10-10T00:20:38.225Z,1605
5c2bf397530484f84463,29,56,2022-10-10T00:25:39.435Z,1602
5c2bf397530484f84463,29,56,2022-10-10T00:30:40.872Z,1604
5c2bf397530484f84463,29,56,2022-10-10T00:35:42.150Z,1608
5c2bf397530484f84463,29,56,2022-10-10T00:40:43.466Z,1606
5c2bf397530484f84463,29,56,2022-10-10T00:45:44.792Z,1604
5c2bf397530484f84463,29,56,2022-10-10T00:50:46.194Z,1607
5c2bf397530484f84463,29,56,2022-10-10T00:55:47.513Z,1605
5c2bf397530484f84463,29,56,2022-10-10T01:00:48.713Z,1602
5c2bf397530484f84463,29,56,2022-10-10T01:05:50.031Z,1607
5c2bf397530484f84463,29,56,2022-10-10T01:10:51.348Z,1603
5c2bf397530484f84463,30,56,2022-10-10T01:15:52.671Z,1595
5c2bf397530484f84463,29,56,2022-10-10T01:20:53.992Z,1601
5c2bf397530484f84463,30,56,2022-10-10T01:25:55.318Z,1598
5c2bf397530484f84463,29,56,2022-10-10T01:30:56.632Z,1601
5c2bf397530484f84463,30,56,2022-10-10T01:35:57.913Z,1599
5c2bf397530484f84463,29,56,2022-10-10T01:40:59.233Z,1601
5c2bf397530484f84463,29,56,2022-10-10T01:46:00.433Z,1601
5c2bf397530484f84463,30,56,2022-10-10T01:51:01.870Z,1600
5c2bf397530484f84463,30,56,2022-10-10T01:56:03.194Z,1600
5c2bf397530484f84463,30,56,2022-10-10T02:01:04.512Z,1599
5c2bf397530484f84463,30,56,2022-10-10T02:06:05.795Z,1595
5c2bf397530484f84463,30,56,2022-10-10T02:11:07.114Z,1596
5c2bf397530484f84463,29,56,2022-10-10T02:16:08.436Z,1604
5c2bf397530484f84463,29,56,2022-10-10T02:21:09.749Z,1602
5c2bf397530484f84463,30,56,2022-10-10T02:26:11.082Z,1594
5c2bf397530484f84463,30,56,2022-10-10T02:31:12.364Z,1593
5c2bf397530484f84463,30,56,2022-10-10T02:36:13.688Z,1594
5c2bf397530484f84463,29,56,2022-10-10T02:41:15.008Z,1601
5c2bf397530484f84463,30,56,2022-10-10T02:46:16.320Z,1596
5c2bf397530484f84463,30,56,2022-10-10T02:51:17.635Z,1588
5c2bf397530484f84463,30,56,2022-10-10T02:56:18.954Z,1600
5c2bf397530484f84463,30,56,2022-10-10T03:01:20.273Z,1598
5c2bf397530484f84463,29,56,2022-10-10T03:06:21.555Z,1604
5c2bf397530484f84463,31,56,2022-10-10T03:11:22.918Z,1578
5c2bf397530484f84463,30,56,2022-10-10T03:16:24.196Z,1600
5c2bf397530484f84463,29,56,2022-10-10T03:21:25.516Z,1602
5c2bf397530484f84463,30,56,2022-10-10T03:26:26.878Z,1599
5c2bf397530484f84463,30,56,2022-10-10T03:31:28.160Z,1597
5c2bf397530484f84463,30,56,2022-10-10T03:36:29.485Z,1598
5c2bf397530484f84463,30,56,2022-10-10T03:41:30.766Z,1599
5c2bf397530484f84463,29,56,2022-10-10T03:46:31.969Z,1601
5c2bf397530484f84463,29,56,2022-10-10T03:51:33.403Z,1601
5c2bf397530484f84463,30,56,2022-10-10T03:56:34.557Z,1597
5c2bf397530484f84463,30,56,2022-10-10T04:01:35.874Z,1597
5c2bf397530484f84463,30,56,2022-10-10T04:06:37.430Z,1587
5c2bf397530484f84463,30,56,2022-10-10T04:11:38.471Z,1593
5c2bf397530484f84463,30,56,2022-10-10T04:16:39.798Z,1598
5c2bf397530484f84463,30,56,2022-10-10T04:21:41.114Z,1594
5c2bf397530484f84463,30,56,2022-10-10T04:26:42.434Z,1590
5c2bf397530484f84463,30,56,2022-10-10T04:31:43.758Z,1594
5c2bf397530484f84463,30,56,2022-10-10T04:36:45.117Z,1592
5c2bf397530484f84463,30,56,2022-10-10T04:41:46.398Z,1600
5c2bf397530484f84463,30,56,2022-10-10T04:46:47.681Z,1594
5c2bf397530484f84463,30,56,2022-10-10T04:51:49.007Z,1587
5c2bf397530484f84463,30,56,2022-10-10T04:56:50.328Z,1592
5c2bf397530484f84463,41,56,2022-10-10T05:01:51.643Z,1370
5c2bf397530484f84463,53,56,2022-10-10T05:06:52.967Z,1129
5c2bf397530484f84463,53,56,2022-10-10T05:11:54.281Z,1126
5c2bf397530484f84463,54,56,2022-10-10T05:16:55.562Z,1109
5c2bf397530484f84463,54,56,2022-10-10T05:21:56.880Z,1110
5c2bf397530484f84463,54,56,2022-10-10T05:26:58.880Z,1110
5c2bf397530484f84463,54,56,2022-10-10T05:31:59.525Z,1108
5c2bf397530484f84463,54,56,2022-10-10T05:37:00.840Z,1112
5c2bf397530484f84463,54,56,2022-10-10T05:42:02.164Z,1114
5c2bf397530484f84463,54,56,2022-10-10T05:47:03.485Z,1114
5c2bf397530484f84463,54,56,2022-10-10T05:52:04.764Z,1101
5c2bf397530484f84463,54,56,2022-10-10T05:57:06.085Z,1109
5c2bf397530484f84463,54,56,2022-10-10T06:02:07.394Z,1108
5c2bf397530484f84463,54,56,2022-10-10T06:07:09.213Z,1109
5c2bf397530484f84463,54,56,2022-10-10T06:12:10.035Z,1109
5c2bf397530484f84463,48,56,2022-10-10T06:17:11.368Z,1235
5c2bf397530484f84463,48,56,2022-10-10T06:22:12.648Z,1234
5c2bf397530484f84463,47,56,2022-10-10T06:27:13.966Z,1241
5c2bf397530484f84463,47,56,2022-10-10T06:32:15.295Z,1247
5c2bf397530484f84463,48,56,2022-10-10T06:37:16.607Z,1226
5c2bf397530484f84463,48,56,2022-10-10T06:42:17.928Z,1231
5c2bf397530484f84463,48,56,2022-10-10T06:47:19.255Z,1230
5c2bf397530484f84463,48,56,2022-10-10T06:52:20.575Z,1227
5c2bf397530484f84463,47,56,2022-10-10T06:57:21.853Z,1244
5c2bf397530484f84463,47,56,2022-10-10T07:02:23.177Z,1258
5c2bf397530484f84463,47,56,2022-10-10T07:07:24.496Z,1256
5c2bf397530484f84463,47,56,2022-10-10T07:12:25.822Z,1254
5c2bf397530484f84463,47,56,2022-10-10T07:17:27.139Z,1259
5c2bf397530484f84463,47,56,2022-10-10T07:22:28.415Z,1244
5c2bf397530484f84463,48,56,2022-10-10T07:27:29.735Z,1227
5c2bf397530484f84463,48,56,2022-10-10T07:32:31.066Z,1228
5c2bf397530484f84463,48,56,2022-10-10T07:37:32.349Z,1224
5c2bf397530484f84463,48,56,2022-10-10T07:42:33.659Z,1233
5c2bf397530484f84463,45,56,2022-10-10T07:47:34.937Z,1285
5c2bf397530484f84463,42,56,2022-10-10T07:52:36.255Z,1352
5c2bf397530484f84463,48,56,2022-10-10T07:57:37.572Z,1237
5c2bf397530484f84463,47,56,2022-10-10T08:02:38.890Z,1241
5c2bf397530484f84463,42,56,2022-10-10T08:07:40.227Z,1344
5c2bf397530484f84463,43,56,2022-10-10T08:12:41.497Z,1336
5c2bf397530484f84463,43,56,2022-10-10T08:17:42.821Z,1322
5c2bf397530484f84463,43,56,2022-10-10T08:22:44.152Z,1330
5c2bf397530484f84463,48,56,2022-10-10T08:27:45.462Z,1226
5c2bf397530484f84463,55,54,2022-10-10T08:32:46.784Z,1090
5c2bf397530484f84463,59,54,2022-10-10T08:37:48.064Z,1012
5c2bf397530484f84463,58,53,2022-10-10T08:42:49.433Z,1021
5c2bf397530484f84463,59,53,2022-10-10T08:47:50.699Z,1020
5c2bf397530484f84463,58,53,2022-10-10T08:52:52.017Z,1027
5c2bf397530484f84463,58,53,2022-10-10T08:57:53.298Z,1021
5c2bf397530484f84463,58,52,2022-10-10T09:02:54.653Z,1025
5c2bf397530484f84463,59,52,2022-10-10T09:07:55.941Z,1016
5c2bf397530484f84463,50,52,2022-10-10T09:12:57.261Z,1182
5c2bf397530484f84463,50,56,2022-10-10T09:17:58.582Z,1182
5c2bf397530484f84463,50,54,2022-10-10T09:22:59.941Z,1186
5c2bf397530484f84463,50,54,2022-10-10T09:28:01.225Z,1185
5c2bf397530484f84463,50,54,2022-10-10T09:33:02.512Z,1186
5c2bf397530484f84463,50,54,2022-10-10T09:38:03.813Z,1191
5c2bf397530484f84463,51,54,2022-10-10T09:43:05.852Z,1180
5c2bf397530484f84463,50,54,2022-10-10T09:48:06.429Z,1187
5c2bf397530484f84463,50,53,2022-10-10T09:53:07.734Z,1186
5c2bf397530484f84463,50,53,2022-10-10T09:58:09.055Z,1184
5c2bf397530484f84463,50,53,2022-10-10T10:03:10.376Z,1193
5c2bf397530484f84463,50,53,2022-10-10T10:08:12.779Z,1186
5c2bf397530484f84463,50,53,2022-10-10T10:13:13.017Z,1189
5c2bf397530484f84463,50,53,2022-10-10T10:18:14.653Z,1189
5c2bf397530484f84463,50,53,2022-10-10T10:23:15.621Z,1191
5c2bf397530484f84463,50,53,2022-10-10T10:28:16.939Z,1182
5c2bf397530484f84463,50,53,2022-10-10T10:33:18.258Z,1192
5c2bf397530484f84463,50,53,2022-10-10T10:38:19.574Z,1194
5c2bf397530484f84463,50,53,2022-10-10T10:43:20.867Z,1196
5c2bf397530484f84463,50,54,2022-10-10T10:48:22.194Z,1186
5c2bf397530484f84463,50,54,2022-10-10T10:53:23.507Z,1183
5c2bf397530484f84463,50,54,2022-10-10T10:58:24.871Z,1181
5c2bf397530484f84463,50,54,2022-10-10T11:03:26.233Z,1186
5c2bf397530484f84463,50,54,2022-10-10T11:08:27.474Z,1186
5c2bf397530484f84463,50,54,2022-10-10T11:13:28.753Z,1187
5c2bf397530484f84463,50,54,2022-10-10T11:18:30.588Z,1190
5c2bf397530484f84463,50,54,2022-10-10T11:23:31.387Z,1195
5c2bf397530484f84463,50,53,2022-10-10T11:28:32.113Z,1193
5c2bf397530484f84463,50,53,2022-10-10T11:33:33.395Z,1194
5c2bf397530484f84463,49,53,2022-10-10T11:38:34.753Z,1208
5c2bf397530484f84463,51,54,2022-10-10T11:43:36.731Z,1180
5c2bf397530484f84463,51,54,2022-10-10T11:48:37.469Z,1180
5c2bf397530484f84463,50,54,2022-10-10T11:53:38.672Z,1182
5c2bf397530484f84463,51,54,2022-10-10T11:58:40.069Z,1171
5c2bf397530484f84463,51,54,2022-10-10T12:03:41.317Z,1175
5c2bf397530484f84463,50,54,2022-10-10T12:08:42.597Z,1185
5c2bf397530484f84463,50,54,2022-10-10T12:13:44.030Z,1187
5c2bf397530484f84463,50,54,2022-10-10T12:18:45.146Z,1184
5c2bf397530484f84463,52,54,2022-10-10T12:23:46.501Z,1151
5c2bf397530484f84463,52,54,2022-10-10T12:28:47.787Z,1143
5c2bf397530484f84463,51,54,2022-10-10T12:33:49.109Z,1179
5c2bf397530484f84463,50,56,2022-10-10T12:38:50.429Z,1183
5c2bf397530484f84463,50,54,2022-10-10T12:43:51.793Z,1189
5c2bf397530484f84463,51,56,2022-10-10T12:48:53.011Z,1178
5c2bf397530484f84463,51,54,2022-10-10T12:53:54.355Z,1179
5c2bf397530484f84463,51,54,2022-10-10T12:58:55.726Z,1177
5c2bf397530484f84463,51,52,2022-10-10T13:03:57.050Z,1174
5c2bf397530484f84463,51,52,2022-10-10T13:08:58.323Z,1176
5c2bf397530484f84463,51,52,2022-10-10T13:13:59.812Z,1170
5c2bf397530484f84463,51,52,2022-10-10T13:19:00.921Z,1180
5c2bf397530484f84463,51,52,2022-10-10T13:24:02.393Z,1170
5c2bf397530484f84463,53,52,2022-10-10T13:29:03.714Z,1138
5c2bf397530484f84463,52,53,2022-10-10T13:34:04.993Z,1158
5c2bf397530484f84463,52,53,2022-10-10T13:39:06.289Z,1157
5c2bf397530484f84463,52,53,2022-10-10T13:44:07.633Z,1149
5c2bf397530484f84463,53,53,2022-10-10T13:49:08.947Z,1127
5c2bf397530484f84463,54,53,2022-10-10T13:54:10.227Z,1113
5c2bf397530484f84463,52,53,2022-10-10T13:59:11.563Z,1150
5c2bf397530484f84463,52,54,2022-10-10T14:04:12.892Z,1155
5c2bf397530484f84463,54,53,2022-10-10T14:09:14.205Z,1106
5c2bf397530484f84463,53,54,2022-10-10T14:14:15.524Z,1124
5c2bf397530484f84463,54,54,2022-10-10T14:19:16.809Z,1120
5c2bf397530484f84463,53,54,2022-10-10T14:24:18.126Z,1127
5c2bf397530484f84463,53,54,2022-10-10T14:29:19.437Z,1123
5c2bf397530484f84463,53,54,2022-10-10T14:34:20.751Z,1134
5c2bf397530484f84463,54,54,2022-10-10T14:39:22.064Z,1120
5c2bf397530484f84463,53,54,2022-10-10T14:44:23.346Z,1129
5c2bf397530484f84463,54,54,2022-10-10T14:49:24.665Z,1114
5c2bf397530484f84463,53,54,2022-10-10T14:54:25.985Z,1136
5c2bf397530484f84463,53,54,2022-10-10T14:59:27.305Z,1138
5c2bf397530484f84463,54,54,2022-10-10T15:04:28.587Z,1116
5c2bf397530484f84463,53,54,2022-10-10T15:09:29.910Z,1128
5c2bf397530484f84463,54,54,2022-10-10T15:14:31.233Z,1117
5c2bf397530484f84463,54,54,2022-10-10T15:19:32.554Z,1120
5c2bf397530484f84463,53,54,2022-10-10T15:24:33.917Z,1130
5c2bf397530484f84463,54,56,2022-10-10T15:29:35.157Z,1112
5c2bf397530484f84463,53,56,2022-10-10T15:34:36.481Z,1140
5c2bf397530484f84463,53,56,2022-10-10T15:39:37.676Z,1125
5c2bf397530484f84463,53,56,2022-10-10T15:44:39.115Z,1124
5c2bf397530484f84463,53,56,2022-10-10T15:49:40.397Z,1123
5c2bf397530484f84463,52,56,2022-10-10T15:54:41.715Z,1145
5c2bf397530484f84463,53,56,2022-10-10T15:59:43.033Z,1124
5c2bf397530484f84463,53,56,2022-10-10T16:04:44.238Z,1132
5c2bf397530484f84463,55,56,2022-10-10T16:09:45.634Z,1094
5c2bf397530484f84463,53,56,2022-10-10T16:14:46.958Z,1138
5c2bf397530484f84463,53,56,2022-10-10T16:19:48.279Z,1140
5c2bf397530484f84463,53,56,2022-10-10T16:24:49.600Z,1128
5c2bf397530484f84463,53,56,2022-10-10T16:29:50.922Z,1135
5c2bf397530484f84463,53,56,2022-10-10T16:34:52.204Z,1129
5c2bf397530484f84463,53,56,2022-10-10T16:39:53.504Z,1136
5c2bf397530484f84463,54,56,2022-10-10T16:44:54.842Z,1111
5c2bf397530484f84463,53,56,2022-10-10T16:49:56.162Z,1129
5c2bf397530484f84463,53,56,2022-10-10T16:54:57.481Z,1139
5c2bf397530484f84463,54,56,2022-10-10T16:59:58.797Z,1110
5c2bf397530484f84463,54,56,2022-10-10T17:05:00.081Z,1115
5c2bf397530484f84463,53,56,2022-10-10T17:10:01.399Z,1121
5c2bf397530484f84463,54,56,2022-10-10T17:15:02.725Z,1114
5c2bf397530484f84463,53,56,2022-10-10T17:20:04.045Z,1123
5c2bf397530484f84463,53,56,2022-10-10T17:25:05.205Z,1125
5c2bf397530484f84463,54,56,2022-10-10T17:30:06.649Z,1117
5c2bf397530484f84463,53,56,2022-10-10T17:35:07.970Z,1126
5c2bf397530484f84463,53,56,2022-10-10T17:40:09.371Z,1122
5c2bf397530484f84463,54,56,2022-10-10T17:45:10.614Z,1116
5c2bf397530484f84463,53,56,2022-10-10T17:50:11.893Z,1134
5c2bf397530484f84463,54,56,2022-10-10T17:55:13.213Z,1117
5c2bf397530484f84463,54,56,2022-10-10T18:00:14.530Z,1110
5c2bf397530484f84463,54,56,2022-10-10T18:05:15.839Z,1105
5c2bf397530484f84463,54,56,2022-10-10T18:10:17.128Z,1114
5c2bf397530484f84463,54,56,2022-10-10T18:15:18.447Z,1111
5c2bf397530484f84463,53,56,2022-10-10T18:20:19.770Z,1132
5c2bf397530484f84463,54,56,2022-10-10T18:25:21.089Z,1106
5c2bf397530484f84463,55,56,2022-10-10T18:30:22.408Z,1095
5c2bf397530484f84463,54,56,2022-10-10T18:35:23.812Z,1115
5c2bf397530484f84463,54,56,2022-10-10T18:40:25.011Z,1104
5c2bf397530484f84463,54,56,2022-10-10T18:45:26.252Z,1116
5c2bf397530484f84463,54,56,2022-10-10T18:50:27.498Z,1105
5c2bf397530484f84463,54,56,2022-10-10T18:55:28.975Z,1117
5c2bf397530484f84463,54,56,2022-10-10T19:00:30.296Z,1120
5c2bf397530484f84463,54,56,2022-10-10T19:05:31.577Z,1111
5c2bf397530484f84463,54,56,2022-10-10T19:10:32.901Z,1108
5c2bf397530484f84463,54,56,2022-10-10T19:15:34.224Z,1107
5c2bf397530484f84463,54,56,2022-10-10T19:20:35.386Z,1108
5c2bf397530484f84463,54,56,2022-10-10T19:25:36.827Z,1111
5c2bf397530484f84463,53,56,2022-10-10T19:30:38.151Z,1128
5c2bf397530484f84463,54,56,2022-10-10T19:35:39.714Z,1108
5c2bf397530484f84463,54,56,2022-10-10T19:40:40.794Z,1111
5c2bf397530484f84463,54,56,2022-10-10T19:45:42.118Z,1119
5c2bf397530484f84463,54,56,2022-10-10T19:50:43.402Z,1107
5c2bf397530484f84463,55,56,2022-10-10T19:55:44.723Z,1099
5c2bf397530484f84463,54,56,2022-10-10T20:00:46.047Z,1105
5c2bf397530484f84463,54,56,2022-10-10T20:05:47.372Z,1117
5c2bf397530484f84463,55,56,2022-10-10T20:10:48.677Z,1096
5c2bf397530484f84463,54,56,2022-10-10T20:15:49.993Z,1101
5c2bf397530484f84463,55,56,2022-10-10T20:20:51.267Z,1097
5c2bf397530484f84463,54,56,2022-10-10T20:25:52.582Z,1112
5c2bf397530484f84463,55,56,2022-10-10T20:30:53.880Z,1089
5c2bf397530484f84463,54,56,2022-10-10T20:35:55.200Z,1108
5c2bf397530484f84463,55,56,2022-10-10T20:40:56.538Z,1093
5c2bf397530484f84463,54,56,2022-10-10T20:45:57.822Z,1102
5c2bf397530484f84463,54,56,2022-10-10T20:50:59.142Z,1104
5c2bf397530484f84463,55,56,2022-10-10T20:56:00.452Z,1098
5c2bf397530484f84463,55,56,2022-10-10T21:01:01.557Z,1092
5c2bf397530484f84463,54,56,2022-10-10T21:06:03.049Z,1102
5c2bf397530484f84463,54,56,2022-10-10T21:11:04.344Z,1115
5c2bf397530484f84463,54,56,2022-10-10T21:16:05.546Z,1114
5c2bf397530484f84463,55,56,2022-10-10T21:21:06.980Z,1091
5c2bf397530484f84463,55,56,2022-10-10T21:26:08.304Z,1088
5c2bf397530484f84463,55,56,2022-10-10T21:31:09.630Z,1090
5c2bf397530484f84463,55,56,2022-10-10T21:36:10.901Z,1096
5c2bf397530484f84463,55,56,2022-10-10T21:41:12.219Z,1086
5c2bf397530484f84463,55,56,2022-10-10T21:46:13.586Z,1086
5c2bf397530484f84463,55,56,2022-10-10T21:51:14.743Z,1084
5c2bf397530484f84463,55,56,2022-10-10T21:56:16.174Z,1088
5c2bf397530484f84463,55,56,2022-10-10T22:01:17.462Z,1086
5c2bf397530484f84463,55,56,2022-10-10T22:06:18.780Z,1084
5c2bf397530484f84463,55,56,2022-10-10T22:11:20.101Z,1096
5c2bf397530484f84463,55,56,2022-10-10T22:16:21.431Z,1091
5c2bf397530484f84463,55,56,2022-10-10T22:21:22.741Z,1083
5c2bf397530484f84463,55,56,2022-10-10T22:26:24.019Z,1086
5c2bf397530484f84463,55,56,2022-10-10T22:31:25.333Z,1087
5c2bf397530484f84463,54,56,2022-10-10T22:36:26.695Z,1109
5c2bf397530484f84463,55,56,2022-10-10T22:41:27.975Z,1081
5c2bf397530484f84463,55,56,2022-10-10T22:46:29.293Z,1083
5c2bf397530484f84463,55,56,2022-10-10T22:51:30.614Z,1081
5c2bf397530484f84463,54,56,2022-10-10T22:56:31.914Z,1115
5c2bf397530484f84463,56,56,2022-10-10T23:01:33.219Z,1079
5c2bf397530484f84463,56,56,2022-10-10T23:06:34.539Z,1073
5c2bf397530484f84463,55,56,2022-10-10T23:11:35.860Z,1089
5c2bf397530484f84463,55,56,2022-10-10T23:16:37.183Z,1087
5c2bf397530484f84463,55,56,2022-10-10T23:21:38.500Z,1085
5c2bf397530484f84463,55,56,2022-10-10T23:26:39.785Z,1082
5c2bf397530484f84463,55,56,2022-10-10T23:31:40.990Z,1082
5c2bf397530484f84463,56,56,2022-10-10T23:36:42.504Z,1074
5c2bf397530484f84463,55,56,2022-10-10T23:41:43.746Z,1083
5c2bf397530484f84463,56,56,2022-10-10T23:46:45.066Z,1078
5c2bf397530484f84463,55,56,2022-10-10T23:51:46.345Z,1085
5c2bf397530484f84463,56,56,2022-10-10T23:56:47.661Z,1077
5c2bf397530484f84463,55,56,2022-10-11T00:01:48.980Z,1085
5c2bf397530484f84463,55,56,2022-10-11T00:06:50.303Z,1082
5c2bf397530484f84463,56,56,2022-10-11T00:11:51.546Z,1075
5c2bf397530484f84463,55,56,2022-10-11T00:16:52.946Z,1081
5c2bf397530484f84463,56,56,2022-10-11T00:21:54.209Z,1080
5c2bf397530484f84463,56,56,2022-10-11T00:26:55.551Z,1080
5c2bf397530484f84463,55,56,2022-10-11T00:31:56.868Z,1082
5c2bf397530484f84463,57,56,2022-10-11T00:36:58.187Z,1058
5c2bf397530484f84463,56,56,2022-10-11T00:41:59.503Z,1078
5c2bf397530484f84463,55,56,2022-10-11T00:47:00.825Z,1088
5c2bf397530484f84463,56,56,2022-10-11T00:52:02.105Z,1074
5c2bf397530484f84463,56,56,2022-10-11T00:57:03.510Z,1079
5c2bf397530484f84463,55,56,2022-10-11T01:02:04.748Z,1083
5c2bf397530484f84463,57,56,2022-10-11T01:07:06.063Z,1059
5c2bf397530484f84463,56,56,2022-10-11T01:12:07.259Z,1079
5c2bf397530484f84463,56,56,2022-10-11T01:17:08.699Z,1077
5c2bf397530484f84463,55,56,2022-10-11T01:22:09.987Z,1082
5c2bf397530484f84463,57,56,2022-10-11T01:27:11.305Z,1057
5c2bf397530484f84463,56,56,2022-10-11T01:32:12.706Z,1078
5c2bf397530484f84463,56,56,2022-10-11T01:37:13.985Z,1069
5c2bf397530484f84463,56,56,2022-10-11T01:42:15.267Z,1074
5c2bf397530484f84463,56,56,2022-10-11T01:47:16.585Z,1075
5c2bf397530484f84463,56,56,2022-10-11T01:52:17.868Z,1079
5c2bf397530484f84463,56,56,2022-10-11T01:57:19.191Z,1073
5c2bf397530484f84463,56,56,2022-10-11T02:02:20.515Z,1068
5c2bf397530484f84463,56,56,2022-10-11T02:07:21.839Z,1077
5c2bf397530484f84463,56,56,2022-10-11T02:12:23.160Z,1072
5c2bf397530484f84463,56,56,2022-10-11T02:17:24.480Z,1078
5c2bf397530484f84463,56,56,2022-10-11T02:22:25.797Z,1075
5c2bf397530484f84463,56,56,2022-10-11T02:27:27.083Z,1077
5c2bf397530484f84463,56,56,2022-10-11T02:32:28.410Z,1072
5c2bf397530484f84463,56,56,2022-10-11T02:37:29.733Z,1074
5c2bf397530484f84463,56,56,2022-10-11T02:42:30.969Z,1072
5c2bf397530484f84463,56,56,2022-10-11T02:47:32.362Z,1075
5c2bf397530484f84463,56,56,2022-10-11T02:52:33.675Z,1079
5c2bf397530484f84463,55,56,2022-10-11T02:57:34.951Z,1081
